AAPL;MSFT;UNH;JNJ;BRK-B;JPM;AMZN;HD;RTX;HON;GOOG;META;PG;KO;XOM;CVX;NEE;DUK;LIN;SHW;PLD;AMT
1,13E-05;1,25E-05;4,87E-05;0,000197643;7,85E-05;0,000122062;2,64E-05;5,94E-05;0,000359096;8,48E-05;5,16E-05;7,39E-05;0,000113759;0,000196629;0,00046423;0,000357983;4,06E-05;0,000269604;5,30E-05;4,00E-05;3,31E-05;5,61E-05
1,41E-05;1,05E-05;2,98E-05;0,000176295;8,01E-05;0,000128457;2,80E-05;6,89E-05;0,000396621;8,43E-05;5,14E-05;7,76E-05;0,000108807;0,000180052;0,000434797;0,000337422;3,16E-05;0,000271297;4,56E-05;4,04E-05;3,31E-05;5,29E-05
1,17E-05;1,24E-05;2,95E-05;0,000179185;8,71E-05;0,000112301;3,91E-05;4,42E-05;0,000365628;7,99E-05;5,45E-05;5,53E-05;0,000111878;0,000175202;0,000420953;0,0003288;3,05E-05;0,000248048;4,24E-05;4,62E-05;3,38E-05;5,25E-05
1,15E-05;9,88E-06;3,62E-05;0,000148924;7,28E-05;0,000127296;2,43E-05;4,02E-05;0,00038569;0,000107823;3,84E-05;5,94E-05;0,000100028;0,00017266;0,000405932;0,000320147;3,38E-05;0,000248739;4,15E-05;4,38E-05;3,50E-05;5,13E-05
9,00E-06;1,09E-05;3,32E-05;0,000148253;6,25E-05;0,000108096;2,88E-05;4,31E-05;0,000338903;8,16E-05;4,30E-05;5,44E-05;9,91E-05;0,000179979;0,000403986;0,000314868;3,01E-05;0,000243521;4,17E-05;3,40E-05;3,10E-05;4,79E-05
1,22E-05;1,54E-05;3,08E-05;0,000139948;7,89E-05;0,000101473;2,78E-05;4,49E-05;0,000323504;7,21E-05;3,79E-05;5,40E-05;0,000101185;0,000166678;0,000461943;0,000298035;2,95E-05;0,000228892;4,16E-05;4,02E-05;2,81E-05;5,61E-05
1,15E-05;9,92E-06;2,90E-05;0,000135596;6,65E-05;0,000111152;2,72E-05;4,34E-05;0,000291906;6,97E-05;3,92E-05;5,87E-05;8,83E-05;0,000159373;0,000389945;0,000282795;2,87E-05;0,000217634;3,85E-05;3,76E-05;2,78E-05;5,05E-05
1,54E-05;2,36E-05;8,72E-05;0,000181276;0,000102537;0,000170841;6,21E-05;5,68E-05;0,000372264;0,000104886;4,29E-05;0,000105576;0,000124235;0,00018892;0,000422802;0,000293413;6,62E-05;0,000226834;6,38E-05;5,10E-05;5,65E-05;0,000112054
1,56E-05;1,61E-05;5,87E-05;0,000227469;9,48E-05;0,000117945;8,32E-05;6,72E-05;0,000353782;0,00012831;4,51E-05;0,000108496;0,000114985;0,000205384;0,000404583;0,000287296;4,89E-05;0,000216453;5,49E-05;5,14E-05;4,24E-05;8,04E-05
1,87E-05;1,57E-05;4,66E-05;0,000174509;8,78E-05;0,000107055;4,04E-05;4,65E-05;0,000347608;0,000169837;4,13E-05;0,000100192;0,000105406;0,000184384;0,000372252;0,000278951;3,58E-05;0,000211898;4,49E-05;4,78E-05;4,02E-05;6,88E-05
1,61E-05;1,90E-05;4,75E-05;0,000159514;8,59E-05;0,000181394;4,85E-05;5,88E-05;0,000360839;9,64E-05;4,20E-05;7,70E-05;0,000101965;0,000168086;0,000362788;0,000275916;3,46E-05;0,000208821;4,63E-05;4,82E-05;4,66E-05;6,17E-05
1,60E-05;2,17E-05;5,16E-05;0,000153996;6,86E-05;0,000106892;3,71E-05;7,48E-05;0,0003207;8,71E-05;4,72E-05;7,21E-05;8,92E-05;0,00015825;0,000378672;0,000266091;3,60E-05;0,000195925;4,81E-05;4,02E-05;3,41E-05;5,20E-05
1,34E-05;3,68E-05;4,14E-05;0,000140751;6,62E-05;0,000117982;4,20E-05;5,90E-05;0,00031224;8,91E-05;3,97E-05;7,02E-05;0,000127797;0,000156421;0,000366456;0,000276218;3,10E-05;0,000189458;3,70E-05;4,31E-05;3,05E-05;5,21E-05
1,35E-05;1,30E-05;3,62E-05;0,000143535;6,99E-05;0,000104189;4,07E-05;4,60E-05;0,000283802;8,54E-05;3,38E-05;6,30E-05;8,76E-05;0,000155778;0,000343004;0,000248972;2,92E-05;0,000183262;3,76E-05;5,96E-05;2,93E-05;4,92E-05
1,18E-05;1,39E-05;3,66E-05;0,000130978;7,39E-05;9,63E-05;4,05E-05;3,96E-05;0,000319493;9,06E-05;3,52E-05;5,83E-05;0,00010309;0,000156846;0,000338318;0,000248779;2,79E-05;0,000208361;3,37E-05;4,70E-05;2,90E-05;5,40E-05
1,22E-05;1,67E-05;3,22E-05;0,000152439;6,14E-05;9,40E-05;3,32E-05;3,65E-05;0,000289833;7,36E-05;3,15E-05;5,39E-05;0,000104797;0,000166229;0,000369823;0,000230662;2,84E-05;0,000166924;3,39E-05;3,80E-05;2,92E-05;4,79E-05
1,55E-05;1,40E-05;2,99E-05;0,000118562;8,22E-05;9,25E-05;4,04E-05;4,98E-05;0,000281983;6,99E-05;2,91E-05;5,24E-05;8,98E-05;0,000172919;0,00035857;0,000243931;2,47E-05;0,000175099;3,20E-05;3,44E-05;2,57E-05;4,10E-05
